District,Station,x,y,longitude,latitude,date,Homicide Total,Assault (Family) Total,Assault (Non-Family) Total,Stealing of Motor Vehicle, Stealing Total, Property Damage Total, Arson Total,Drug Offences Total,Regulated Weapons Offences
Mandurah,Dwellingup,116.0621907,-32.71487514,116.0621907,-32.71487514,1/12/2008,0,61,93,37,582,341,10,101,24
Mandurah,Kwinana,115.8157464,-32.24043354,115.8157464,-32.24043354,1/12/2008,0,61,93,37,582,341,10,101,24
Mandurah,Mandurah,115.7434187,-32.53833733,115.7434187,-32.53833733,1/12/2008,0,61,93,37,582,341,10,101,24
Mandurah,Pinjarra,115.8751582,-32.62924948,115.8751582,-32.62924948,1/12/2008,0,61,93,37,582,341,10,101,24
Mandurah,Rockingham,115.7471163,-32.28484062,115.7471163,-32.28484062,1/12/2008,0,61,93,37,582,341,10,101,24
Mandurah,Dwellingup,116.0621907,-32.71487514,116.0621907,-32.71487514,1/12/2009,0,55,87,46,455,296,4,81,9
Mandurah,Kwinana,115.8157464,-32.24043354,115.8157464,-32.24043354,1/12/2009,0,55,87,46,455,296,4,81,9
Mandurah,Mandurah,115.7434187,-32.53833733,115.7434187,-32.53833733,1/12/2009,0,55,87,46,455,296,4,81,9
Mandurah,Pinjarra,115.8751582,-32.62924948,115.8751582,-32.62924948,1/12/2009,0,55,87,46,455,296,4,81,9
Mandurah,Rockingham,115.7471163,-32.28484062,115.7471163,-32.28484062,1/12/2009,0,55,87,46,455,296,4,81,9
Mandurah,Dwellingup,116.0621907,-32.71487514,116.0621907,-32.71487514,1/12/2010,0,120,117,50,485,276,11,71,11
Mandurah,Kwinana,115.8157464,-32.24043354,115.8157464,-32.24043354,1/12/2010,0,120,117,50,485,276,11,71,11
Mandurah,Mandurah,115.7434187,-32.53833733,115.7434187,-32.53833733,1/12/2010,0,120,117,50,485,276,11,71,11
Mandurah,Pinjarra,115.8751582,-32.62924948,115.8751582,-32.62924948,1/12/2010,0,120,117,50,485,276,11,71,11
Mandurah,Rockingham,115.7471163,-32.28484062,115.7471163,-32.28484062,1/12/2010,0,120,117,50,485,276,11,71,11
Mandurah,Dwellingup,116.0621907,-32.71487514,116.0621907,-32.71487514,1/12/2011,2,105,83,69,503,274,5,81,15
Mandurah,Kwinana,115.8157464,-32.24043354,115.8157464,-32.24043354,1/12/2011,2,105,83,69,503,274,5,81,15
Mandurah,Mandurah,115.7434187,-32.53833733,115.7434187,-32.53833733,1/12/2011,2,105,83,69,503,274,5,81,15
Mandurah,Pinjarra,115.8751582,-32.62924948,115.8751582,-32.62924948,1/12/2011,2,105,83,69,503,274,5,81,15
Mandurah,Rockingham,115.7471163,-32.28484062,115.7471163,-32.28484062,1/12/2011,2,105,83,69,503,274,5,81,15
Mandurah,Dwellingup,116.0621907,-32.71487514,116.0621907,-32.71487514,1/12/2012,0,162,106,117,791,348,11,92,29
Mandurah,Kwinana,115.8157464,-32.24043354,115.8157464,-32.24043354,1/12/2012,0,162,106,117,791,348,11,92,29
Mandurah,Mandurah,115.7434187,-32.53833733,115.7434187,-32.53833733,1/12/2012,0,162,106,117,791,348,11,92,29
Mandurah,Pinjarra,115.8751582,-32.62924948,115.8751582,-32.62924948,1/12/2012,0,162,106,117,791,348,11,92,29
Mandurah,Rockingham,115.7471163,-32.28484062,115.7471163,-32.28484062,1/12/2012,0,162,106,117,791,348,11,92,29
Mandurah,Dwellingup,116.0621907,-32.71487514,116.0621907,-32.71487514,1/12/2013,0,152,72,83,822,305,13,116,18
Mandurah,Kwinana,115.8157464,-32.24043354,115.8157464,-32.24043354,1/12/2013,0,152,72,83,822,305,13,116,18
Mandurah,Mandurah,115.7434187,-32.53833733,115.7434187,-32.53833733,1/12/2013,0,152,72,83,822,305,13,116,18
Mandurah,Pinjarra,115.8751582,-32.62924948,115.8751582,-32.62924948,1/12/2013,0,152,72,83,822,305,13,116,18
